,States,Years,Quarter,Districts,Registered_users,Appopens
460,Arunachal Pradesh,2018,3,lepa rada district,431,0
461,Arunachal Pradesh,2018,3,lower dibang valley district,1286,0
462,Arunachal Pradesh,2018,3,longding district,644,0
463,Arunachal Pradesh,2018,3,west siang district,1652,0
464,Arunachal Pradesh,2018,3,kamle district,65,0
465,Arunachal Pradesh,2018,3,upper siang district,646,0
466,Arunachal Pradesh,2018,3,kurung kumey district,222,0
467,Arunachal Pradesh,2018,3,siang district,373,0
468,Arunachal Pradesh,2018,3,kra daadi district,190,0
469,Arunachal Pradesh,2018,3,changlang district,2889,0
470,Arunachal Pradesh,2018,3,pakke kessang district,103,0
471,Arunachal Pradesh,2018,3,east siang district,3590,0
472,Arunachal Pradesh,2018,3,upper subansiri district,1169,0
473,Arunachal Pradesh,2018,3,tawang district,3112,0
474,Arunachal Pradesh,2018,3,namsai district,1862,0
475,Arunachal Pradesh,2018,4,lower subansiri district,1459,0
476,Arunachal Pradesh,2018,4,tirap district,1684,0
477,Arunachal Pradesh,2018,4,papum pare district,21342,0
478,Arunachal Pradesh,2018,4,anjaw district,744,0
479,Arunachal Pradesh,2018,4,lower siang district,936,0
480,Arunachal Pradesh,2018,4,dibang valley district,178,0
481,Arunachal Pradesh,2018,4,west kameng district,6492,0
482,Arunachal Pradesh,2018,4,shi yomi district,144,0
483,Arunachal Pradesh,2018,4,east kameng district,691,0
484,Arunachal Pradesh,2018,4,lohit district,3588,0
485,Arunachal Pradesh,2018,4,lepa rada district,548,0
486,Arunachal Pradesh,2018,4,lower dibang valley district,1827,0
487,Arunachal Pradesh,2018,4,longding district,923,0
488,Arunachal Pradesh,2018,4,west siang district,2117,0
489,Arunachal Pradesh,2018,4,kamle district,109,0
490,Arunachal Pradesh,2018,4,upper siang district,868,0
491,Arunachal Pradesh,2018,4,kurung kumey district,321,0
492,Arunachal Pradesh,2018,4,siang district,483,0
493,Arunachal Pradesh,2018,4,kra daadi district,255,0
494,Arunachal Pradesh,2018,4,changlang district,4036,0
495,Arunachal Pradesh,2018,4,pakke kessang district,138,0
496,Arunachal Pradesh,2018,4,east siang district,4813,0
497,Arunachal Pradesh,2018,4,upper subansiri district,1576,0
498,Arunachal Pradesh,2018,4,tawang district,4085,0
499,Arunachal Pradesh,2018,4,namsai district,2495,0
500,Arunachal Pradesh,2019,1,lower subansiri district,1879,0
501,Arunachal Pradesh,2019,1,tirap district,2082,0
502,Arunachal Pradesh,2019,1,papum pare district,26298,0
503,Arunachal Pradesh,2019,1,anjaw district,934,0
504,Arunachal Pradesh,2019,1,lower siang district,1123,0
505,Arunachal Pradesh,2019,1,dibang valley district,211,0
506,Arunachal Pradesh,2019,1,west kameng district,8115,0
507,Arunachal Pradesh,2019,1,shi yomi district,186,0
508,Arunachal Pradesh,2019,1,east kameng district,876,0
509,Arunachal Pradesh,2019,1,lohit district,4416,0
510,Arunachal Pradesh,2019,1,lepa rada district,710,0
511,Arunachal Pradesh,2019,1,lower dibang valley district,2314,0
512,Arunachal Pradesh,2019,1,longding district,1152,0
513,Arunachal Pradesh,2019,1,west siang district,2656,0
514,Arunachal Pradesh,2019,1,kamle district,141,0
515,Arunachal Pradesh,2019,1,upper siang district,1125,0
516,Arunachal Pradesh,2019,1,kurung kumey district,385,0
517,Arunachal Pradesh,2019,1,siang district,651,0
518,Arunachal Pradesh,2019,1,kra daadi district,350,0
519,Arunachal Pradesh,2019,1,changlang district,5210,0
520,Arunachal Pradesh,2019,1,pakke kessang district,162,0
521,Arunachal Pradesh,2019,1,east siang district,5899,0
522,Arunachal Pradesh,2019,1,upper subansiri district,1906,0
523,Arunachal Pradesh,2019,1,tawang district,5023,0
524,Arunachal Pradesh,2019,1,namsai district,3153,0
525,Arunachal Pradesh,2019,2,lower subansiri district,2463,11644
526,Arunachal Pradesh,2019,2,tirap district,2697,12779
527,Arunachal Pradesh,2019,2,papum pare district,32800,163673
528,Arunachal Pradesh,2019,2,anjaw district,1175,4993
529,Arunachal Pradesh,2019,2,lower siang district,1457,7737
530,Arunachal Pradesh,2019,2,dibang valley district,241,258
531,Arunachal Pradesh,2019,2,west kameng district,9782,73944
532,Arunachal Pradesh,2019,2,shi yomi district,225,24
533,Arunachal Pradesh,2019,2,east kameng district,1075,4146
534,Arunachal Pradesh,2019,2,lohit district,5485,32550
535,Arunachal Pradesh,2019,2,lepa rada district,903,4196
536,Arunachal Pradesh,2019,2,lower dibang valley district,2842,12669
537,Arunachal Pradesh,2019,2,longding district,1420,13256
538,Arunachal Pradesh,2019,2,west siang district,3393,15972
539,Arunachal Pradesh,2019,2,kamle district,212,972
540,Arunachal Pradesh,2019,2,upper siang district,1372,2710
541,Arunachal Pradesh,2019,2,kurung kumey district,481,2171
542,Arunachal Pradesh,2019,2,siang district,831,3209
543,Arunachal Pradesh,2019,2,kra daadi district,440,2639
544,Arunachal Pradesh,2019,2,changlang district,6884,37725
545,Arunachal Pradesh,2019,2,pakke kessang district,211,1237
546,Arunachal Pradesh,2019,2,east siang district,7319,34596
547,Arunachal Pradesh,2019,2,upper subansiri district,2355,9043
548,Arunachal Pradesh,2019,2,tawang district,5908,32103
549,Arunachal Pradesh,2019,2,namsai district,3914,18627
550,Arunachal Pradesh,2019,3,lower subansiri district,2928,42877
551,Arunachal Pradesh,2019,3,tirap district,3099,49222
552,Arunachal Pradesh,2019,3,papum pare district,38845,582435
553,Arunachal Pradesh,2019,3,anjaw district,1358,19509
554,Arunachal Pradesh,2019,3,lower siang district,1689,25736
555,Arunachal Pradesh,2019,3,dibang valley district,271,1436
556,Arunachal Pradesh,2019,3,west kameng district,11186,260068
557,Arunachal Pradesh,2019,3,shi yomi district,239,158
558,Arunachal Pradesh,2019,3,east kameng district,1304,19974
559,Arunachal Pradesh,2019,3,lohit district,6421,112322
560,Arunachal Pradesh,2019,3,lepa rada district,1064,13695
561,Arunachal Pradesh,2019,3,lower dibang valley district,3398,43057
562,Arunachal Pradesh,2019,3,longding district,1634,46571
563,Arunachal Pradesh,2019,3,west siang district,4101,64241
564,Arunachal Pradesh,2019,3,kamle district,258,3686
565,Arunachal Pradesh,2019,3,upper siang district,1486,8960
566,Arunachal Pradesh,2019,3,kurung kumey district,572,8396
567,Arunachal Pradesh,2019,3,siang district,948,13437
568,Arunachal Pradesh,2019,3,kra daadi district,524,11363
569,Arunachal Pradesh,2019,3,changlang district,8145,139098
570,Arunachal Pradesh,2019,3,pakke kessang district,244,5099
571,Arunachal Pradesh,2019,3,east siang district,8571,118071
572,Arunachal Pradesh,2019,3,upper subansiri district,2748,35114
573,Arunachal Pradesh,2019,3,tawang district,6553,114907
574,Arunachal Pradesh,2019,3,namsai district,4563,72268
575,Arunachal Pradesh,2019,4,lower subansiri district,3564,53396
576,Arunachal Pradesh,2019,4,tirap district,3605,67097
577,Arunachal Pradesh,2019,4,papum pare district,44746,670934
578,Arunachal Pradesh,2019,4,anjaw district,1564,23729
579,Arunachal Pradesh,2019,4,lower siang district,1921,28156
580,Arunachal Pradesh,2019,4,dibang valley district,289,1738
581,Arunachal Pradesh,2019,4,west kameng district,12562,313584
582,Arunachal Pradesh,2019,4,shi yomi district,266,880
583,Arunachal Pradesh,2019,4,east kameng district,1623,27850
584,Arunachal Pradesh,2019,4,lohit district,7386,129353
585,Arunachal Pradesh,2019,4,lepa rada district,1263,20798
586,Arunachal Pradesh,2019,4,lower dibang valley district,3944,50034
587,Arunachal Pradesh,2019,4,longding district,1847,48945
588,Arunachal Pradesh,2019,4,west siang district,4773,70790
589,Arunachal Pradesh,2019,4,kamle district,323,5098
590,Arunachal Pradesh,2019,4,upper siang district,1804,26060
591,Arunachal Pradesh,2019,4,kurung kumey district,653,7904
592,Arunachal Pradesh,2019,4,siang district,1131,19220
593,Arunachal Pradesh,2019,4,kra daadi district,603,13700
594,Arunachal Pradesh,2019,4,changlang district,9662,152680
595,Arunachal Pradesh,2019,4,pakke kessang district,296,5981
596,Arunachal Pradesh,2019,4,east siang district,9859,132534
597,Arunachal Pradesh,2019,4,upper subansiri district,3144,42354
598,Arunachal Pradesh,2019,4,tawang district,7303,139898
599,Arunachal Pradesh,2019,4,namsai district,5190,87627
600,Arunachal Pradesh,2020,1,lower subansiri district,4351,72887
601,Arunachal Pradesh,2020,1,tirap district,4261,76554
602,Arunachal Pradesh,2020,1,papum pare district,51342,819599
603,Arunachal Pradesh,2020,1,anjaw district,1747,25453
604,Arunachal Pradesh,2020,1,lower siang district,2201,35216
605,Arunachal Pradesh,2020,1,dibang valley district,320,2195
606,Arunachal Pradesh,2020,1,west kameng district,13983,332479
607,Arunachal Pradesh,2020,1,shi yomi district,290,989
608,Arunachal Pradesh,2020,1,east kameng district,1962,37103
609,Arunachal Pradesh,2020,1,lohit district,8454,159158
610,Arunachal Pradesh,2020,1,lepa rada district,1532,28280
611,Arunachal Pradesh,2020,1,lower dibang valley district,4650,71091
612,Arunachal Pradesh,2020,1,longding district,2201,58817
613,Arunachal Pradesh,2020,1,west siang district,5757,97255
614,Arunachal Pradesh,2020,1,kamle district,373,7135
615,Arunachal Pradesh,2020,1,upper siang district,2143,37600
616,Arunachal Pradesh,2020,1,kurung kumey district,725,11471
617,Arunachal Pradesh,2020,1,siang district,1390,24530
618,Arunachal Pradesh,2020,1,kra daadi district,701,16770
619,Arunachal Pradesh,2020,1,changlang district,11262,201632
620,Arunachal Pradesh,2020,1,pakke kessang district,371,9758
621,Arunachal Pradesh,2020,1,east siang district,11298,167166
622,Arunachal Pradesh,2020,1,upper subansiri district,3675,56522
623,Arunachal Pradesh,2020,1,tawang district,8048,138728
624,Arunachal Pradesh,2020,1,namsai district,6029,109933
625,Arunachal Pradesh,2020,2,lower subansiri district,5392,108893
626,Arunachal Pradesh,2020,2,tirap district,5239,114770
627,Arunachal Pradesh,2020,2,papum pare district,59968,932769
628,Arunachal Pradesh,2020,2,anjaw district,1961,34903
629,Arunachal Pradesh,2020,2,lower siang district,2644,48738
630,Arunachal Pradesh,2020,2,dibang valley district,367,4076
631,Arunachal Pradesh,2020,2,west kameng district,15766,394250
632,Arunachal Pradesh,2020,2,shi yomi district,320,1597
633,Arunachal Pradesh,2020,2,east kameng district,2506,53112
634,Arunachal Pradesh,2020,2,lohit district,10154,219948
635,Arunachal Pradesh,2020,2,lepa rada district,1890,38098
636,Arunachal Pradesh,2020,2,lower dibang valley district,5782,110670
637,Arunachal Pradesh,2020,2,longding district,2751,86086
638,Arunachal Pradesh,2020,2,west siang district,7239,147515
639,Arunachal Pradesh,2020,2,kamle district,509,11566
640,Arunachal Pradesh,2020,2,upper siang district,2552,54123
641,Arunachal Pradesh,2020,2,kurung kumey district,834,16738
642,Arunachal Pradesh,2020,2,siang district,1831,40101
643,Arunachal Pradesh,2020,2,kra daadi district,870,25480
644,Arunachal Pradesh,2020,2,changlang district,14036,293705
645,Arunachal Pradesh,2020,2,pakke kessang district,438,13500
646,Arunachal Pradesh,2020,2,east siang district,13601,235755
647,Arunachal Pradesh,2020,2,upper subansiri district,4465,80310
648,Arunachal Pradesh,2020,2,tawang district,8993,170812
649,Arunachal Pradesh,2020,2,namsai district,7426,149491
650,Arunachal Pradesh,2020,3,lower subansiri district,6456,117359
651,Arunachal Pradesh,2020,3,tirap district,6119,125437
652,Arunachal Pradesh,2020,3,papum pare district,69419,1157730
653,Arunachal Pradesh,2020,3,anjaw district,2226,42320
654,Arunachal Pradesh,2020,3,lower siang district,2983,51520
655,Arunachal Pradesh,2020,3,dibang valley district,411,4634
656,Arunachal Pradesh,2020,3,west kameng district,17636,461190
657,Arunachal Pradesh,2020,3,shi yomi district,337,2788
658,Arunachal Pradesh,2020,3,east kameng district,3169,63062
659,Arunachal Pradesh,2020,3,lohit district,11755,264444
660,Arunachal Pradesh,2020,3,lepa rada district,2304,47233
661,Arunachal Pradesh,2020,3,lower dibang valley district,6799,117752
662,Arunachal Pradesh,2020,3,longding district,3277,91330
663,Arunachal Pradesh,2020,3,west siang district,8623,158496
664,Arunachal Pradesh,2020,3,kamle district,639,12196
665,Arunachal Pradesh,2020,3,upper siang district,3011,59246
666,Arunachal Pradesh,2020,3,kurung kumey district,1025,18583
667,Arunachal Pradesh,2020,3,siang district,2225,42723
668,Arunachal Pradesh,2020,3,kra daadi district,1026,29126
669,Arunachal Pradesh,2020,3,changlang district,16385,326045
670,Arunachal Pradesh,2020,3,pakke kessang district,508,11721
671,Arunachal Pradesh,2020,3,east siang district,15921,302165
672,Arunachal Pradesh,2020,3,upper subansiri district,5295,106598
673,Arunachal Pradesh,2020,3,tawang district,9944,224583
674,Arunachal Pradesh,2020,3,namsai district,8553,165140
675,Arunachal Pradesh,2020,4,lower subansiri district,7388,124398
676,Arunachal Pradesh,2020,4,tirap district,6805,134124
677,Arunachal Pradesh,2020,4,papum pare district,77936,1397025
678,Arunachal Pradesh,2020,4,anjaw district,2485,61121
679,Arunachal Pradesh,2020,4,lower siang district,3320,54476
680,Arunachal Pradesh,2020,4,dibang valley district,444,7677
681,Arunachal Pradesh,2020,4,west kameng district,19464,455337
682,Arunachal Pradesh,2020,4,shi yomi district,370,5847
683,Arunachal Pradesh,2020,4,east kameng district,3638,62876
684,Arunachal Pradesh,2020,4,lohit district,13126,285992
685,Arunachal Pradesh,2020,4,lepa rada district,2735,57036
686,Arunachal Pradesh,2020,4,lower dibang valley district,7693,132469
687,Arunachal Pradesh,2020,4,longding district,3753,87881
688,Arunachal Pradesh,2020,4,west siang district,9911,180696
689,Arunachal Pradesh,2020,4,kamle district,745,14866
690,Arunachal Pradesh,2020,4,upper siang district,3497,80140
691,Arunachal Pradesh,2020,4,kurung kumey district,1173,21168
692,Arunachal Pradesh,2020,4,siang district,2635,48090
693,Arunachal Pradesh,2020,4,kra daadi district,1141,27924
694,Arunachal Pradesh,2020,4,changlang district,18203,320708
695,Arunachal Pradesh,2020,4,pakke kessang district,593,11458
696,Arunachal Pradesh,2020,4,east siang district,17822,349321
697,Arunachal Pradesh,2020,4,upper subansiri district,6069,125505
698,Arunachal Pradesh,2020,4,tawang district,10909,249095
699,Arunachal Pradesh,2020,4,namsai district,9437,177437
700,Arunachal Pradesh,2021,1,lower subansiri district,8044,136547
701,Arunachal Pradesh,2021,1,tirap district,7376,136247
702,Arunachal Pradesh,2021,1,papum pare district,84715,1553363
703,Arunachal Pradesh,2021,1,anjaw district,2660,55283
704,Arunachal Pradesh,2021,1,lower siang district,3594,61226
705,Arunachal Pradesh,2021,1,dibang valley district,478,9538
706,Arunachal Pradesh,2021,1,west kameng district,21027,483047
707,Arunachal Pradesh,2021,1,shi yomi district,390,7228
708,Arunachal Pradesh,2021,1,east kameng district,3990,69455
709,Arunachal Pradesh,2021,1,lohit district,14231,295880
710,Arunachal Pradesh,2021,1,lepa rada district,3008,68424
711,Arunachal Pradesh,2021,1,lower dibang valley district,8402,145425
712,Arunachal Pradesh,2021,1,longding district,4117,92482
713,Arunachal Pradesh,2021,1,west siang district,10836,191242
714,Arunachal Pradesh,2021,1,kamle district,814,16142
715,Arunachal Pradesh,2021,1,upper siang district,3847,87503
716,Arunachal Pradesh,2021,1,kurung kumey district,1287,25911
717,Arunachal Pradesh,2021,1,siang district,2878,56271
718,Arunachal Pradesh,2021,1,kra daadi district,1244,30137
719,Arunachal Pradesh,2021,1,changlang district,19716,344148
720,Arunachal Pradesh,2021,1,pakke kessang district,647,14995
721,Arunachal Pradesh,2021,1,east siang district,19342,363085
722,Arunachal Pradesh,2021,1,upper subansiri district,6577,122422
723,Arunachal Pradesh,2021,1,tawang district,11778,230123
724,Arunachal Pradesh,2021,1,namsai district,10242,200584
725,Arunachal Pradesh,2021,2,lower subansiri district,8685,444426
726,Arunachal Pradesh,2021,2,tirap district,7955,547430
727,Arunachal Pradesh,2021,2,papum pare district,90871,1786163
728,Arunachal Pradesh,2021,2,anjaw district,2866,174807
729,Arunachal Pradesh,2021,2,lower siang district,3872,246789
730,Arunachal Pradesh,2021,2,dibang valley district,516,77457
731,Arunachal Pradesh,2021,2,west kameng district,22625,1490269
732,Arunachal Pradesh,2021,2,shi yomi district,430,99619
733,Arunachal Pradesh,2021,2,east kameng district,4314,221705
734,Arunachal Pradesh,2021,2,lohit district,15360,1008718
735,Arunachal Pradesh,2021,2,lepa rada district,3249,228236
736,Arunachal Pradesh,2021,2,lower dibang valley district,9094,434361
737,Arunachal Pradesh,2021,2,longding district,4456,495881
738,Arunachal Pradesh,2021,2,west siang district,11657,467127
